EDUC_LEVEL,FAM_NO,AREA,WT_CROP,WT_IR_YN,WT_WA_CN_YN,WT_WA_RC,WT_GW,WT_PS,WT_SY_YN,WT_CR_YL_KG,WT_VL_CC,WT_SM_ST,WT_CP_NI_MN,SM_CROP,SM_IR_YN,SM_IR_WA_Y,SM_IR_TC,SM_GW,SM_PS,SM_CR_YL_KG,SM_CP_NI_MN,SM_VL_CC,SM_SM_ST,SM_RAIN_YN,CSM_AGR_YN,FL_USE,CR_RT_YN,SOIL_PROB,CA_YN,CA_CNS,CA_US_YN,CA_SS,CA_US_DT,CA_CC_VUL,CA_CC_RISK,CA_CC_ADAP,CA_CC_IMP,CA_CC_SS,NDVI_CV,PRECIPITAT,TEMPERATUR
no-schooling,6,5,Fababean,yes,yes,Medium,130,Henbit (Weed),No,1700,Medium vulnerable,Medium,11900,Sorghum,Yes,Based on experience,Yes,130,ANTHRANCOSE,3000,10000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Nothing,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,27.50966151,73.25761164,2.252265516
secondary,5,2,Fababean,yes,yes,Medium,99,Wild Oats (Weed),No,1500,Medium vulnerable,Medium,10000,Sorghum,Yes,Based on experience,Yes,99,flétrissement,3000,11000,Medium vulnerable,Medium,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,21.42589798,109.1965008,1.4681191
primary,7,10,Rye,yes,yes,Medium,90,Shepherd's Purse (Weed),Yes,3000,Medium vulnerable,Medium,11000,Maize,Yes,Based on experience,Yes,90,HERBE A POUX,2200,11000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,25.71540591,74.9397327,2.317619455
secondary,4,5,Fababean,no,yes,High,54,Aphids (Pest),No,2600,Highly vulnerable,Medium,23584,Maize,Yes,Based on experience,No,54, La pourriture de la tige,4500,22378,Highly vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,Through apps,40.64120222,111.110361,1.6870066
university,3,10,Wheat,yes,yes,High,45,Rust (Disease),No,2900,Highly vulnerable,Medium,14204,Melon,Yes,Based on experience,No,45,Thrips,35000,94537,Highly vulnerable,Dry,No,Yes,Selling in the market,Yes,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,TV,39.37074895,111.110361,1.6870066
no-schooling,10,2,Wheat,yes,yes,High,130,Aphids (Pest),No,5000,Medium vulnerable,Medium,37000,Maize,Yes,Based on experience,Yes,130,pumaise,2000,15400,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Nothing,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Heatwaves,Improving irrigation practices,Water stress,Radio,40.00056623,104.8776955,1.943099611
no-schooling,6,4,Lentil,yes,yes,Medium,105,Shepherd's Purse (Weed),No,1200,Medium vulnerable,Medium,21000,Maize,Yes,Based on crop water need,Yes,105,pumaise,2300,14000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Newspaper,16.65496961,109.1965008,1.4681191
secondary,7,10,Lentil,yes,yes,Medium,95,Shepherd's Purse (Weed),Yes,1900,Medium vulnerable,Medium,20000,Maize,Yes,Based on crop water need,Yes,95,GAILLET GRATTERON,2100,13500,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Sometimes),Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,39.1458329,81.42187965,2.337391241
no-schooling,7,10,Barley,yes,yes,High,51,Rust (Disease),No,2300,Highly vulnerable,Dry,12730,Maize,Yes,Based on experience,No,51,Rouille du maïs,7500,43902,Highly vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,TV,34.084822,111.110361,1.6870066
primary,7,4,Fababean,yes,yes,High,102,Chickweed (Weed),No,1500,Medium vulnerable,Medium,11000,Sorghum,Yes,Based on crop water need,Yes,102,fasoroise,2500,8000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,16.65496961,109.1965008,1.4681191
no-schooling,7,10,Fababean,yes,no,Low,100,Henbit (Weed),No,1500,Medium vulnerable,Medium,12000,Sorghum,Yes,Based on experience,Yes,100,JOHNSON GRASS,3000,9000,Highly vulnerable,Dry,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,38.21192543,81.42187965,2.337391241
secondary,8,2,Rye,yes,yes,Medium,103,Wild Oats (Weed),Yes,3500,Medium vulnerable,Medium,14000,Sorghum,Yes,Based on crop water need,Yes,103,pigweed,4000,15000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Increased pests/diseases,TV,24.75139038,109.1965008,1.4681191
primary,8,10,Rye,yes,yes,Medium,105,Henbit (Weed),Yes,2500,Medium vulnerable,Medium,11000,Sorghum,Yes,Based on crop water need,Yes,105,PALMER AMARANTH,3000,10000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,29.22828431,81.42187965,2.337391241
primary,5,15,Fababean,yes,yes,High,52,Aphids (Pest),No,2900,Highly vulnerable,Medium,25996,Sorghum,Yes,Based on experience,No,52,La  brûlure des épis ,4000,16616,Highly vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,TV,37.6775912,111.110361,1.6870066
secondary,9,3,Barley,yes,yes,Medium,100,Shepherd's Purse (Weed),Yes,4000,Medium vulnerable,Medium,23000,Maize,Yes,Based on experience,Yes,100,brulure,3000,21000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Increased pests/diseases,Newspaper,24.75139038,109.1965008,1.4681191
secondary,5,2,Barley,yes,yes,Medium,115,Henbit (Weed),Yes,3400,Medium vulnerable,Medium,19000,Maize,Yes,Based on crop water need,Yes,115,POURPIER,2800,21000,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,27.46441134,74.9397327,2.317619455
primary,6,1,Barley,yes,yes,Medium,100,Cutworms (Pest),No,6000,Medium vulnerable,Medium,7650,Sorghum,Yes,Based on crop water need,Yes,120,oiduim,6500,8250,Medium vulnerable,Low,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Yes,Winter,Never,Low vulnerable,Heatwaves,Crop diversification,Increased pests/diseases,Radio,31.30876191,104.8776955,1.943099611
primary,6,3,Wheat,yes,yes,Medium,106,Chickweed (Weed),No,3900,Medium vulnerable,Medium,29000,Maize,Yes,Based on crop water need,Yes,106,pyral,1600,8000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,24.75139038,109.1965008,1.4681191
primary,7,1,Barley,yes,yes,High,61,Aphids (Pest),No,2600,Highly vulnerable,Dry,10220,Pastèque ,Yes,Based on experience,No,61,Acariens ,36000,51338,Highly vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,TV,34.69037976,111.110361,1.6870066
primary,9,2,Wheat,yes,yes,Medium,95,Henbit (Weed),Yes,5000,Medium vulnerable,Medium,32000,Maize,Yes,Based on experience,Yes,95,PANICORIGE,1800,11000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Erosion,No,Lack of knowledge,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,32.89619994,74.9397327,2.317619455
secondary,3,2,Lentil,yes,yes,Medium,102,Leaf miners (Pest),No,2000,Medium vulnerable,Medium,22000,Maize,Yes,Based on crop water need,Yes,102,gaillet gratteren,2500,18000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,No finance,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,24.75139038,109.1965008,1.4681191
secondary,7,1,Lentil,yes,yes,Medium,100,Henbit (Weed),Yes,2000,Medium vulnerable,Medium,25000,Maize,Yes,Based on crop water need,Yes,95,GAILLET GRATTERON,2500,19000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Maybe,Summer,Sometimes,highly vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,32.89619994,74.9397327,2.317619455
no-schooling,6,1,Wheat,yes,no,High,95,Wild Oats (Weed),No,3500,Medium vulnerable,Medium,25000,Maize,Yes,Based on crop water need,Yes,95,PYRALE,1600,8000,Medium vulnerable,Medium,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,No idea,Summer,Never,Medium vulnerable,Strong winds,Improving irrigation practices,Increased pests/diseases,TV,22.76771301,109.1965008,1.4681191
secondary,9,15,Wheat,yes,yes,Medium,80,Henbit (Weed),Yes,6000,Medium vulnerable,Medium,40000,Maize,Yes,Based on crop water need,Yes,80,POURPIER,2300,15000,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,19.99124911,81.42187965,2.337391241
primary,4,3,Barley,yes,yes,Medium,99,Wild Oats (Weed),No,2900,Medium vulnerable,Medium,15000,Sorghum,Yes,Based on qualitative guess,Yes,99,SEPETOROISE,3200,11000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of knowledge,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Increased pests/diseases,TV,22.76771301,109.1965008,1.4681191
primary,8,15,Barley,yes,yes,Medium,85,Shepherd's Purse (Weed),Yes,2500,Medium vulnerable,Medium,12000,Sorghum,Yes,Based on crop water need,Yes,85,PALMER AMARANTH,3200,11000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Nothing,No,Lack of knowledge,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,19.39866902,81.42187965,2.337391241
secondary,6,5,Wheat,yes,no,High,60,Aphids (Pest),Yes,3000,Highly vulnerable,Dry,10854,Melon,Yes,Based on experience,Yes,60,Thrips,31000,8370,Highly vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,Through apps,38.50255341,111.110361,1.6870066
no-schooling,11,4,Wheat,yes,no,Medium,120,Powdery Mildew (Disease),No,3500,Medium vulnerable,Low,11000,Maize,Yes,Based on crop water need,No,120,brulure,3000,9240,Medium vulnerable,Low,No,No,Selling in the market,Yes,Salinity,No,No finance,Yes,Winter,Never,Medium vulnerable,Heatwaves,Improving irrigation practices,Increased pests/diseases,Radio,39.2698408,109.8397092,1.70921904
primary,6,10,Lentil,yes,yes,Medium,100,Chickweed (Weed),No,1600,Medium vulnerable,Medium,20000,Maize,Yes,Based on crop water need,Yes,100,PUNAISE,2500,13000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,No,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Increased pests/diseases,Newspaper,24.85323422,109.1965008,1.4681191
primary,7,10,Lentil,yes,yes,Medium,95,Henbit (Weed),Yes,1900,Medium vulnerable,Medium,14600,Maize,Yes,Based on experience,Yes,95,PANICORIGE,1900,10000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Erosion,No,Lack of knowledge,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,17.48507233,81.42187965,2.337391241
no-schooling,9,5,Chickpea,yes,yes,Medium,100,Henbit (Weed),Yes,900,Medium vulnerable,Medium,14000,Sorghum,Yes,Based on experience,Yes,100,JOHNSON GRASS,2900,9000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Nothing,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,17.48507233,81.42187965,2.337391241
primary,5,10,Chickpea,yes,yes,High,85,Chickweed (Weed),No,1000,Medium vulnerable,Medium,14000,TOMATE,Yes,Based on crop water need,Yes,100,POURRITURE,11000,21000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Salinity,No,No finance,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Increased pests/diseases,Newspaper,27.90331564,109.1965008,1.4681191
primary,5,5,Rye,yes,yes,Medium,110,Henbit (Weed),Yes,3000,Medium vulnerable,Medium,14000,TOMATE,Yes,Based on crop water need,Yes,110,THRIPS,15000,50000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,19.55387772,81.42187965,2.337391241
no-schooling,8,3,Barley,yes,no,Medium,130,Powdery Mildew (Disease),No,3000,Medium vulnerable,Medium,11550,Sorghum,Yes,Based on experience,No,130,brulure,3500,13650,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Erosion,No,Lack of machinery,Yes,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,38.8584233,109.8397092,1.70921904
secondary,3,10,Wheat,yes,yes,Medium,100,Chickweed (Weed),No,3700,Medium vulnerable,Medium,25000,Maize,Yes,Based on crop water need,Yes,100,PUNAISE,2600,11000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,No finance,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Increased pests/diseases,Through apps,33.43012676,107.631493,1.58897694
secondary,8,4,Fababean,yes,yes,Medium,100,Henbit (Weed),Yes,1700,Medium vulnerable,Medium,14000,Sorghum,Yes,Based on crop water need,Yes,100,PIGWEED,3500,14500,Medium vulnerable,Dry,No,Yes,Selling in the market,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,30.77901171,81.42187965,2.337391241
no-schooling,5,15,Lentil,yes,yes,Medium,120,Wild Oats (Weed),No,1400,Medium vulnerable,Medium,21000,Maize,Yes,Based on qualitative guess,Yes,120,PUNAISE,1500,12000,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,Yes,Summer,Never,Low vulnerable,Drought,Improving irrigation practices,Dust,Newspaper,37.32217499,107.631493,1.58897694
secondary,5,1,Barley,yes,yes,High,60,Aphids (Pest),Yes,2800,Highly vulnerable,Dry,13090,Pastèque ,Yes,Based on experience,No,62,Puceron ,22000,47180,Highly vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,Through apps,33.46146013,111.110361,1.6870066
no-schooling,9,10,Wheat,yes,no,Medium,100,Henbit (Weed),No,3500,Medium vulnerable,Medium,20000,Maize,Yes,Based on experience,Yes,100,ACARIENS BRULURE,1600,11000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Erosion,No,Lack of knowledge,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,23.3329825,81.42187965,2.337391241
no-schooling,3,20,Lentil,yes,yes,Medium,100,Chickweed (Weed),No,1600,Medium vulnerable,Medium,22000,Sorghum,Yes,Based on qualitative guess,Yes,100,SEPETOROISE,3000,11000,Medium vulnerable,Dry,No,No,Subsistence/domestic use,Yes,Salinity,No,Lack of machinery,No,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,28.61559928,107.631493,1.58897694
primary,7,5,Rye,yes,yes,Medium,100,Henbit (Weed),Yes,2600,Medium vulnerable,Medium,10500,Sorghum,Yes,Based on experience,Yes,100,ANTHRANCOSE,2900,13000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Erosion,No,Lack of knowledge,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,21.16292749,81.42187965,2.337391241
primary,3,20,Chickpea,yes,yes,Medium,120,Chickweed (Weed),No,1000,Medium vulnerable,Dry,15000,Maize,Yes,Based on qualitative guess,Yes,120,PYRALE,2100,9000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Salinity,No,No finance,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Radio,33.8839725,107.631493,1.58897694
secondary,4,1,Wheat,yes,yes,Medium,120,Leaf miners (Pest),Yes,4000,Medium vulnerable,Medium,17920,Maize,Yes,Based on crop water need,Yes,120,PUMAISE,2000,6790,Medium vulnerable,Medium,No,Yes,Selling in the market,Yes,Salinity,Yes(Sometimes),Lack of machinery,Yes,Winter,Often,Medium vulnerable,Heatwaves,Crop diversification,Increased pests/diseases,Through apps,42.91499516,108.868147,1.92684007
secondary,9,15,Wheat,yes,yes,Medium,95,Henbit (Weed),Yes,6000,Medium vulnerable,Medium,44000,Maize,Yes,Based on crop water need,Yes,95,HERBE A POUX,2400,15000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Erosion,Yes(Rarely),Lack of machinery,Yes,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,32.25501329,81.42187965,2.337391241
primary,7,20,Rye,yes,yes,Medium,90,Rust (Disease),No,3200,Medium vulnerable,Dry,8000,Sorghum,Yes,Based on experience,Yes,90,FASORIOSE,3500,9000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,34.75893388,107.631493,1.58897694
university,4,5,Fababean,yes,yes,High,61,Aphids (Pest),Yes,3000,Highly vulnerable,Dry,27470,Pastèque ,Yes,Based on experience,Yes,61,Puceron ,29000,60166,Highly vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Water stress,Through apps,31.25714602,111.110361,1.6870066
primary,9,10,Barley,yes,yes,Medium,103,Henbit (Weed),Yes,4500,Medium vulnerable,Medium,25000,Maize,Yes,Based on crop water need,Yes,103,GAILLET GRATTERON,1700,10000,Medium vulnerable,Dry,No,Maybe,Selling in the market,Yes,Erosion,No,Lack of knowledge,No idea,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,From mosque,22.81132251,81.42187965,2.337391241
no-schooling,8,1,Barley,yes,no,Medium,130,Powdery Mildew (Disease),No,3000,Medium vulnerable,Medium,13650,Sorghum,Yes,Based on experience,No,130,POUPIER,3500,13440,Medium vulnerable,Medium,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,No,Winter,Never,Medium vulnerable,Heatwaves,Adjusting sowing date,Increased pests/diseases,Radio,42.01199235,104.8776955,1.943099611
no-schooling,2,15,Wheat,yes,yes,Medium,120,Chickweed (Weed),No,3200,Medium vulnerable,Medium,21000,Maize,Yes,Based on crop water need,Yes,120,pyrale,2300,15000,Medium vulnerable,Dry,No,No,Selling in the market,Yes,Salinity,No,Lack of machinery,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,TV,40.03262658,107.631493,1.58897694
university,10,20,Barley,yes,yes,Medium,110,Henbit (Weed),Yes,2800,Medium vulnerable,Medium,19000,Maize,Yes,Based on crop water need,Yes,110,HERBE A POUX,2100,19000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Erosion,Yes(Rarely),Lack of machinery,Maybe,Summer,Sometimes,Medium vulnerable,Drought,Improving irrigation practices,Dust,Through apps,37.40735541,81.42187965,2.337391241
primary,3,10,Lentil,yes,yes,Medium,90,Fusarium Wilt (Disease),No,1700,Medium vulnerable,Medium,20000,Sorghum,Yes,Based on experience,Yes,90,FUSARIUM,1600,10000,Medium vulnerable,Dry,No,Maybe,Subsistence/domestic use,Yes,Salinity,No,No finance,Maybe,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Increased pests/diseases,Newspaper,31.88606352,107.631493,1.58897694
primary,6,2,Chickpea,yes,yes,High,61,Aphids (Pest),No,26000,Highly vulnerable,Dry,37922,Maize,Yes,Based on experience,No,61,Pyrale sur chaumes de maïs,35000,589600,Highly vulnerable,Dry,No,No,Selling in the market,No,Salinity,No,Lack of machinery,No,Summer,Never,highly vulnerable,Drought,Improving irrigation practices,Physical damage,TV,31.29168257,111.110361,1.6870066
no-schooling,6,15,Wheat,yes,yes,High,95,Shepherd's Purse (Weed),No,3900,Medium vulnerable,Medium,22000,Maize,Yes,Based on crop water need,Yes,95,PUNAISE,3000,13000,Low vulnerable,Dry,No,Yes,Subsistence/domestic use,Yes,Salinity,No,No finance,Yes,Summer,Never,Medium vulnerable,Drought,Improving irrigation practices,Dust,Extension agents,42.0390198,107.631493,1.58897694
